recording_id,filename,dmc_priority_label,disaster_type,language,district,scripted_or_spontaneous,recording_condition,label_confidence,notes
Call recording 251201_114612,Call recording 251201_114612.wav,Low,,Sinhala,Puttalam,spontaneous,Good,3,Asking information
Call recording 251201_154056,Call recording 251201_154056.wav,High,,Sinhala,,spontaneous,Good,3,2 ppl trapped
Call recording 7251127_124019,Call recording 7251127_124019.wav,Low,,Sinhala,,spontaneous,Good,3,Asking information
Call recording 7251128_075207,Call recording 7251128_075207.wav,High,Flood,Sinhala,Kandy,spontaneous,Good,3,people trapped
Call recording 7251128_090539,Call recording 7251128_090539.wav,Medium,Tree fallen,Sinhala,,spontaneous,Good,3,tree about to fall
Call recording 7251128_162532,Call recording 7251128_162532.wav,Low,Flood,Sinhala,Kandy,spontaneous,Good,3,Asking info
Call recording 7251128_172437,Call recording 7251128_172437.wav,High,Flood,Sinhala,kegalle,spontaneous,Good,3,water till third floor
Call recording 7_251128_061849,Call recording 7_251128_061849.wav,Medium,Tree fallen,Sinhala,Matale,spontaneous,Good,3,tree fallen
Call recording 7_251128_092626,Call recording 7_251128_092626.wav,High,Tree fallen,Sinhala,Gampaha,spontaneous,Good,3,electricity leakage
Call recording 7_251128_130139,Call recording 7_251128_130139.wav,Low,Flood,Sinhala,Kandy,spontaneous,Good,3,asking info
Call recording 7_251128_160819,Call recording 7_251128_160819.wav,Medium,Tree fallen,Sinhala,,spontaneous,Poor,2,tree fallen
Call recording 7_251128_220436,Call recording 7_251128_220436.wav,Low,,Sinhala,,spontaneous,Good,3,Information sharing
Call recording 7_251130_150333,Call recording 7_251130_150333.wav,Low,,Sinhala,Panadura,spontaneous,Good,3,Asking information
Call recording _251128_000158,Call recording _251128_000158.wav,High,Flood,Sinhala,,spontaneous,Fair,3,Flood water increased
Call recording _251128_045727,Call recording _251128_045727.wav,High,Flood,Sinhala,Kandy,spontaneous,Fair,3,Flood water has increased
Call recording _251128_055921,Call recording _251128_055921.wav,High,Current,Sinhala,Gampaha,spontaneous,Poor,3,tree has fallen and electricity leakage and fire
Call recording _251128_080730,Call recording _251128_080730.wav,High,Flood,Sinhala,Kandy,spontaneous,Good,3,Child trapped at hostel
Call recording _251128_092239,Call recording _251128_092239.wav,Medium,Rain,Sinhala,Colombo,spontaneous,Good,2,fertilizers are getting wet cause roof fell off due to wind
Call recording _251128_104418,Call recording _251128_104418.wav,Low,Flood,Sinhala,Badulla,spontaneous,Good,3,Asking info about situation because cant contact people there
Call recording _251128_154736,Call recording _251128_154736.wav,Medium,Flood,Sinhala,Colombo,spontaneous,Good,2,
Call recording _251128_174609,Call recording _251128_174609.wav,High,Flood,Sinhala,Kandy,spontaneous,Good,3,people stuck
Call recording _251128_215453,Call recording _251128_215453.wav,High,Flood,Sinhala,Kurunegala,spontaneous,Good,3,some students are stuck
Call recording _251128_225506,Call recording _251128_225506.wav,High,Flood,Sinhala,Puttalam,spontaneous,Good,3,"child, old people and mom trapped"
Call recording _251128_232203,Call recording _251128_232203.wav,Low,Flood,Sinhala,,spontaneous,Good,3,asking info about water level
Call recording _251129_092106,Call recording _251129_092106.wav,High,Flood,Sinhala,Gampaha,spontaneous,Good,3,students trapped
Call recording _251129_103931,Call recording _251129_103931.wav,Medium,Landslide,Sinhala,,spontaneous,Good,2,
Call recording _251129_110959,Call recording _251129_110959.wav,Medium,Flood,Sinhala,Kandy,spontaneous,Good,2,want to check on students not answering calls
Call recording _251129_111237,Call recording _251129_111237.wav,High,Flood,Sinhala,Puttalam,spontaneous,Good,3,People need immediate rescue
Call recording _251129_150256,Call recording _251129_150256.wav,High,Flood,Sinhala,Puttalam,spontaneous,Good,3,
Call recording _251130_054850,Call recording _251130_054850.wav,Medium,Flood,Sinhala,Puttalam,spontaneous,Good,3,water in a orphanage
Call recording _251130_075849,Call recording _251130_075849.wav,Low,,Sinhala,,spontaneous,Good,2,Asking information
Call recording _251130_125506,Call recording _251130_125506.wav,High,Flood,Sinhala,Colombo,spontaneous,Good,3,people stuck
Call recording _251130_150637,Call recording _251130_150637.wav,Low,Flood,Sinhala,Colombo,spontaneous,Good,3,giving info
Call recording _251130_192058,Call recording _251130_192058.wav,Low,Flood,Sinhala,Colombo,spontaneous,Good,3,asking about a rescue operation
Call recording_251128_213632,Call recording_251128_213632.wav,Low,Flood,Sinhala,Colombo,spontaneous,Good,3,asking bout ppl that they cant contact
Call recording tamil,Call recording tamil.wav,High,Flood,Tamil,,spontaneous,Good,3,
